,columns,missing values count
420,Sensor - 420,2
421,Sensor - 421,2
422,Sensor - 422,2
423,Sensor - 423,3
424,Sensor - 424,3
425,Sensor - 425,3
426,Sensor - 426,3
427,Sensor - 427,3
428,Sensor - 428,3
429,Sensor - 429,0
430,Sensor - 430,0
431,Sensor - 431,0
432,Sensor - 432,0
433,Sensor - 433,0
434,Sensor - 434,0
435,Sensor - 435,0
436,Sensor - 436,0
437,Sensor - 437,0
438,Sensor - 438,0
439,Sensor - 439,0
440,Sensor - 440,0
441,Sensor - 441,0
442,Sensor - 442,0
443,Sensor - 443,0
444,Sensor - 444,0
445,Sensor - 445,0
446,Sensor - 446,0
447,Sensor - 447,0
448,Sensor - 448,0
449,Sensor - 449,0
450,Sensor - 450,11
451,Sensor - 451,11
452,Sensor - 452,0
453,Sensor - 453,0
454,Sensor - 454,0
455,Sensor - 455,0
456,Sensor - 456,0
457,Sensor - 457,0
458,Sensor - 458,0
459,Sensor - 459,0
460,Sensor - 460,0
461,Sensor - 461,0
462,Sensor - 462,0
463,Sensor - 463,1
464,Sensor - 464,1
465,Sensor - 465,1
466,Sensor - 466,1
467,Sensor - 467,1
468,Sensor - 468,1
469,Sensor - 469,3
470,Sensor - 470,3
471,Sensor - 471,3
472,Sensor - 472,3
473,Sensor - 473,3
474,Sensor - 474,3
475,Sensor - 475,3
476,Sensor - 476,3
477,Sensor - 477,3
478,Sensor - 478,3
479,Sensor - 479,3
480,Sensor - 480,3
481,Sensor - 481,3
482,Sensor - 482,3
483,Sensor - 483,24
484,Sensor - 484,24
485,Sensor - 485,24
486,Sensor - 486,24
487,Sensor - 487,24
488,Sensor - 488,24
489,Sensor - 489,24
490,Sensor - 490,24
491,Sensor - 491,1
492,Sensor - 492,0
493,Sensor - 493,385
494,Sensor - 494,0
495,Sensor - 495,0
496,Sensor - 496,0
497,Sensor - 497,42
498,Sensor - 498,42
499,Sensor - 499,1
500,Sensor - 500,1
501,Sensor - 501,1
502,Sensor - 502,1
503,Sensor - 503,1
504,Sensor - 504,1
505,Sensor - 505,1
506,Sensor - 506,1
507,Sensor - 507,1
508,Sensor - 508,1
509,Sensor - 509,1
510,Sensor - 510,1
511,Sensor - 511,1
512,Sensor - 512,1
513,Sensor - 513,1
514,Sensor - 514,1
515,Sensor - 515,1
516,Sensor - 516,1
517,Sensor - 517,159
518,Sensor - 518,159
519,Sensor - 519,159
520,Sensor - 520,365
521,Sensor - 521,0
522,Sensor - 522,0
523,Sensor - 523,0
524,Sensor - 524,0
525,Sensor - 525,0
526,Sensor - 526,24
527,Sensor - 527,0
528,Sensor - 528,0
529,Sensor - 529,3
530,Sensor - 530,3
531,Sensor - 531,3
532,Sensor - 532,3
533,Sensor - 533,3
534,Sensor - 534,3
535,Sensor - 535,3
536,Sensor - 536,3
537,Sensor - 537,3
538,Sensor - 538,3
539,Sensor - 539,3
540,Sensor - 540,3
541,Sensor - 541,3
542,Sensor - 542,3
543,Sensor - 543,0
544,Sensor - 544,0
545,Sensor - 545,0
546,Sensor - 546,0
547,Sensor - 547,34
548,Sensor - 548,34
549,Sensor - 549,34
550,Sensor - 550,34
551,Sensor - 551,34
552,Sensor - 552,34
553,Sensor - 553,34
554,Sensor - 554,34
555,Sensor - 555,34
556,Sensor - 556,34
557,Sensor - 557,34
558,Sensor - 558,34
559,Sensor - 559,0
560,Sensor - 560,0
561,Sensor - 561,0
562,Sensor - 562,0
563,Sensor - 563,10
564,Sensor - 564,10
565,Sensor - 565,10
566,Sensor - 566,10
567,Sensor - 567,10
568,Sensor - 568,10
569,Sensor - 569,10
570,Sensor - 570,10
571,Sensor - 571,0
572,Sensor - 572,0
573,Sensor - 573,0
574,Sensor - 574,0
575,Sensor - 575,0
576,Sensor - 576,0
577,Sensor - 577,0
578,Sensor - 578,0
579,Sensor - 579,298
580,Sensor - 580,298
581,Sensor - 581,298
582,Sensor - 582,298
583,Sensor - 583,0
584,Sensor - 584,0
585,Sensor - 585,0
586,Sensor - 586,0
587,Sensor - 587,0
588,Sensor - 588,0
589,Sensor - 589,0
590,Sensor - 590,0
